DV,Model,Variable,Coefficient,SE,p_value,N
Prog Rev,M2 Moderation,pct_foreign_born_z,-0.20541292679232492,0.2586753239938643,0.4271398010297077,1287
Prog Rev,M2 Moderation,ses_index,0.17229802431163108,0.16853299056504856,0.3066199886622686,1287
Prog Rev,M2 Moderation,dem_share_z,0.5006884312952103,0.2116190892918833,0.01798198009416411,1287
Prog Rev,M3a Hurdle P1,imgrnt_support,-0.0028643188758230745,0.029062199205788283,0.921489037149549,1287
Prog Rev,M3a Hurdle P1,econ_support,0.050913444898583224,0.06257090301820367,0.41582140291281255,1287
Prog Rev,M3a Hurdle P1,enforce_binary,-0.23111087774603922,0.13614097504662384,0.08958611500920755,1287
Prog Rev,M3a Hurdle P1,npoprovider_c,-0.06044643449897068,0.06256575937884555,0.33398091471099434,1287
Prog Rev,M3a Hurdle P1,imgrnt_support:npoprovider_c,-0.028427054198459985,0.015212989297148375,0.061677914709190346,1287
Prog Rev,M3a Hurdle P1,econ_support:npoprovider_c,-0.009552056162412309,0.04162458396599895,0.8184949929148189,1287
Prog Rev,M3a Hurdle P1,enforce_binary:npoprovider_c,0.04279672669819968,0.07009608912489959,0.5415016941773121,1287
Prog Rev,M3a Hurdle P1,ln_employee,0.5411576590555045,0.05565933136779193,2.413530565706393e-22,1287
Prog Rev,M3a Hurdle P1,ln_assets,0.09507213862977747,0.03565924246186709,0.007673025569805853,1287
Prog Rev,M3a Hurdle P1,ln_pop_z,0.09452100134463212,0.09696047439282168,0.32963936358166446,1287
Prog Rev,M3a Hurdle P1,pct_foreign_born_z,-0.13336825918652914,0.10713953009136562,0.21320194007845028,1287
Prog Rev,M3a Hurdle P1,ses_index,0.05437243824223172,0.07331898376771631,0.458337329359499,1287
Prog Rev,M3a Hurdle P1,dem_share_z,0.27179141658079914,0.09655359592960897,0.004878816965822082,1287
Prog Rev,M3b Hurdle P2,imgrnt_support,0.014094706410466704,0.04687488737006306,0.7636525783706691,647
Prog Rev,M3b Hurdle P2,econ_support,0.010440434874557425,0.07218135205879739,0.884993756214296,647
Prog Rev,M3b Hurdle P2,enforce_binary,0.0756561188371756,0.1877609407308282,0.6869934402442979,647
Prog Rev,M3b Hurdle P2,npoprovider_c,0.013938268978054849,0.07929662974291099,0.8604716632104841,647
Prog Rev,M3b Hurdle P2,imgrnt_support:npoprovider_c,-0.014027403275124242,0.021112394318085644,0.5064243772512222,647
Prog Rev,M3b Hurdle P2,econ_support:npoprovider_c,-0.08106545055256648,0.04982218363198183,0.10371681762629216,647
Prog Rev,M3b Hurdle P2,enforce_binary:npoprovider_c,0.13960405572386925,0.08406250079197741,0.09677022197487051,647
Prog Rev,M3b Hurdle P2,ln_employee,0.5360251152597977,0.05212690023163548,8.399900215965406e-25,647
Prog Rev,M3b Hurdle P2,ln_assets,0.18793893747757384,0.05564020964286852,0.0007308044116142356,647
Prog Rev,M3b Hurdle P2,ln_pop_z,0.23271520571697318,0.13585819328629203,0.08672591850900857,647
Prog Rev,M3b Hurdle P2,pct_foreign_born_z,0.14614443935762986,0.15668615419792536,0.3509641285600207,647
Prog Rev,M3b Hurdle P2,ses_index,0.1233274384401116,0.10621398835629393,0.24559213658796297,647
Prog Rev,M3b Hurdle P2,dem_share_z,-0.13458760849987778,0.1096748671411561,0.21976589159392734,647
